song_id,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15
1204,0.12350688,0.40099883,0.077129245,-0.2862332,-0.13356088,-0.024389772,0.1126063,0.016215304,-0.17878345,-0.3489651,0.047718897,-0.40155312,-0.08156166,-0.1783284,-0.20795763,0.23021746
1562,0.5322915,0.26568064,0.18708684,-0.2385747,0.10038848,0.004340323,0.14085075,-0.32860184,-0.41854575,-0.090732835,0.2328695,-0.48473647,0.05935881,-0.2413791,-0.3470415,-0.019213162
2043,0.3093511,0.15270786,-0.05382099,0.19349428,-0.15374026,-0.086809374,0.25379804,0.063501835,-0.12158632,-0.5125922,-0.41425985,0.09754939,-0.012039944,-0.047667775,-0.30782977,0.5265879
960,0.41666663,0.59155035,-0.31124598,-0.31068864,0.64060825,-0.2284488,-0.16301781,-0.42588565,0.5380071,0.44157228,0.060543563,0.58848894,0.3791328,-0.013336963,0.2983472,0.43346
974,0.017125739,0.3461509,0.3908486,0.22887936,0.040084656,-0.28905082,0.00565506,-0.121004745,-0.0015732708,-0.32077724,-0.3651421,0.03668083,-0.08571245,0.23222955,-0.119511425,0.17256114
1238,0.34628552,0.19207539,0.20260824,0.011595571,0.05393687,-0.11847641,0.24827626,-0.349068,-0.13470508,-0.2665339,0.033915605,-0.45634815,-0.20148791,0.11461306,-0.1071443,-0.049459204
2057,0.30404413,0.20303763,-0.19373822,0.061280973,0.15351391,-0.085310385,-0.04018188,0.065103956,0.0946161,-0.08958506,-0.13951784,0.15517005,0.19667847,0.26883122,-0.1603929,0.03312039
155,-0.21347596,-0.18572026,0.08567392,0.3040485,-0.37893087,0.5325182,-0.54683673,0.11945102,0.076920785,0.35749647,-0.0367155,0.09547846,0.30773672,0.34078974,0.09261279,0.16044977
169,0.22106637,-0.51259124,-0.15936904,0.48949984,-0.43720806,-0.41707367,-0.31408957,-0.054557256,-0.1696261,0.12775877,-0.3551192,0.51822513,-0.39245316,0.17059675,0.12737316,-0.23018105
83,0.05630228,-0.03498014,-0.34668985,-0.20255674,-0.07338479,-0.06578718,-0.012608509,-0.19125378,-0.10367844,-0.23070134,-0.16966213,0.19396223,0.02212468,0.32191387,0.12309052,-0.08137356
1402,0.06912036,-0.3510211,0.23456548,0.010689254,-0.501694,0.018226825,0.28814074,-0.2684529,-0.22175469,-0.24497926,-0.22675227,0.14439055,0.049993582,-0.08108295,-0.1937232,0.22722967
196,-0.1725878,-0.5135734,-0.5889671,0.17214997,0.20142825,-0.28568673,0.008517273,-0.7033249,0.048898768,0.57614845,0.2164883,0.22278073,0.52981555,-0.35595033,0.51561207,0.2048611
68,0.061077278,-0.097562864,-0.22600661,0.5385442,0.041570637,-0.16653708,0.25717223,-0.06084201,-0.14401685,-0.1296097,0.10824514,0.4711605,0.22169636,-0.050861593,0.3648736,0.20441225
1364,0.42424914,0.2205738,0.45441297,0.27043334,0.041793402,-0.283659,0.3460286,-0.46054864,-0.5187268,-0.2354249,-0.09631597,-0.48310575,0.06422698,-0.27866575,-0.020593556,0.07674337
1370,-0.14273019,-0.38865483,-0.023886882,0.6744599,0.16158956,0.61544,-0.27081183,-0.23492244,-0.38550434,-0.20105433,-0.04384321,-0.2481446,-0.26772133,-0.31390575,0.19910789,0.21827729
182,-0.22371875,-0.6144582,-0.6267111,0.44959867,-0.5287967,-0.043878302,-0.41215906,0.09379993,-0.19082677,-0.13910113,-0.35116738,0.32333428,0.4398542,0.6206348,0.064079314,0.09175409
1416,0.11915373,0.013684898,0.33078307,0.18321145,-0.18022767,0.23998229,0.27906162,0.03535842,-0.38326445,-0.12740073,-0.13576737,0.074338086,-0.12440488,-0.048905864,-0.025804754,0.43127626
54,0.19637176,0.039233353,-0.27106234,0.6544207,-0.45441362,-0.49372518,-0.3989988,-0.14179787,-0.11225714,0.15336095,-0.39577916,0.06731777,0.114085056,0.10735867,0.22136179,-0.2638245
1358,-0.0038757727,0.61246586,0.5434332,-0.75017357,0.40011182,0.2283769,0.19148807,-0.09913147,-0.03009559,-0.5214788,-0.34646723,-0.21354294,0.07943367,-0.12016,-0.091868475,-0.18871887
814,-0.15515994,0.73218477,-0.0122263525,-0.2576248,0.53438747,-0.64532906,-0.7710905,-0.822729,0.7112696,0.7186238,-0.66626596,0.73309785,0.52217877,0.019296695,0.8005233,-0.12170014
40,0.28932387,-0.032656666,-0.009624333,0.22113489,-0.06269515,-0.11444036,-0.13161604,-0.19818097,-0.050699983,-0.008481502,-0.16503368,0.23903477,0.17432615,0.17622069,-0.17959811,0.19428636
800,0.112438574,-0.0015790152,-0.101902895,0.13370351,0.16567715,-0.31779015,-0.10357339,-0.15960804,0.08019584,-0.2525146,-0.16674201,0.27196,0.0202403,0.34216318,-0.100766696,0.08153551
431,-0.35491458,0.08811452,0.19353858,0.3819956,0.6133197,0.40265322,-0.6632415,-0.6720835,0.3810499,-0.29844096,0.15225652,0.33696198,-0.005380415,0.43632498,0.24432696,-0.14957592
357,0.25731313,0.18006328,-0.029577373,0.44479364,0.17708282,0.08915959,-0.19713315,-0.1159925,0.31324628,-0.49149948,-0.011235725,0.25176674,0.15805367,0.22354837,0.1336063,0.015426981
343,0.11707804,0.2193563,0.18509614,-0.060785275,-0.005887947,0.2194147,-0.26716784,-0.25004265,0.26559788,-0.16041386,-0.08414864,0.16850415,0.18524352,0.25045952,0.07821339,0.35472777
425,-0.33223626,0.24740212,-0.44822204,-0.41910812,0.38667437,-0.06386661,-0.49229285,-0.07753453,0.025049482,-0.2847131,-0.25679466,0.5536577,0.3574467,-0.32632533,0.687021,0.148931
1199,0.24135262,0.05399788,0.08029235,0.23487763,-0.19941573,0.00059504056,0.13606755,-0.33137912,-0.2173027,-0.118981674,0.076018825,0.06155285,0.044594653,0.004684764,-0.2946523,0.44969106
1827,0.48148796,0.34201512,-0.037040804,-0.27774203,0.018900802,-0.2016468,0.3228773,-0.029842699,-0.4189936,-0.25949886,-0.18481119,-0.3883734,-0.0873873,-0.009626039,-0.04547713,0.26948357
1833,0.020601826,0.028330363,0.35020393,0.31673843,-0.27337113,-0.15919212,0.17298613,-0.19425075,-0.40910885,-0.23232555,0.18157245,-0.08034795,0.21748689,-0.13454121,0.018404342,0.107959285
419,-0.5475061,-0.081596054,0.24500589,0.18238,-0.37892905,-0.36260226,-0.0072869877,-0.24086602,0.1289271,-0.29221797,0.5441459,-0.13276668,0.3945714,0.40708974,0.09995562,0.24183309
